id;long_deg;lat_deg;Time_s_AVG;Relevage;Actif/passif;traction;patinage
24348;4.392730556;50.54065833;29674.08277;30.8;1;-1530;4.777777778
63089;4.387780556;50.53884722;115668.8043;30.8;1;-1530;10.1
24408;4.390819444;50.54019722;29734.10303;30.8;1;-1485;9.7
28757;4.391338889;50.54069167;34082.88553;30.8;1;-1485;6.9
62970;4.387663889;50.54022222;115549.7907;30.8;1;-1485;8.4
26341;4.390530556;50.54030833;31666.99928;30.8;1;-1395;8.5
25748;4.394011111;50.54107778;31074.01294;30.8;1;-1350;8.3
25887;4.389827778;50.54008889;31212.99959;30.8;1;-1350;12.9
28751;4.391519444;50.54073333;34076.87752;30.8;1;-1350;6.6
62973;4.387663889;50.54018611;115552.7963;30.8;1;-1350;13.2
63008;4.387683333;50.53979167;115587.8278;30.8;1;-1350;27.5
63106;4.387797222;50.53863056;115685.7916;30.8;1;-1350;8.6
28671;4.393994444;50.54131111;33996.877;30.8;1;-1260;6.5
24542;4.388022222;50.53951111;29868.1062;30.8;1;-1215;7.9
26230;4.393930556;50.54112778;31556.02605;30.8;1;-1215;5.2
29841;4.387980556;50.53994167;35166.8013;30.8;1;-1215;8.4
63041;4.387733333;50.53943889;115620.7972;30.8;1;-1215;6.4
26310;4.391469444;50.54053611;31635.98789;30.8;1;-1170;6.6
26359;4.390005556;50.54017778;31685.02768;30.8;1;-1125;10.6
27755;4.394186111;50.54125556;33080.96183;30.8;1;-1125;6.6
27863;4.390797222;50.54047778;33188.92541;30.8;1;-1125;6.9
29634;4.393402778;50.54125278;34959.82419;30.8;1;-1125;2.3
62940;4.387669444;50.54048611;115519.8134;30.8;1;-1125;45.4
62951;4.387666667;50.54043056;115530.7985;30.8;1;-1125;18.6
63088;4.387777778;50.53885833;115667.8027;30.8;1;-1125;7.8
29412;4.389477778;50.54026944;34737.85004;30.8;1;-1080;3.5
29702;4.391322222;50.54075556;35027.83435;30.8;1;-1080;7.6
28670;4.394022222;50.54131667;33995.87426;30.8;1;-1035;5.1
29656;4.392733333;50.54108889;34981.82927;30.8;1;-1035;3.7
24349;4.392694444;50.54065;29675.06126;30.8;1;-990;6.3
63145;4.387794444;50.53811389;115724.7986;30.8;1;-945;15.1
28750;4.39155;50.54074167;34075.87421;30.8;1;-900;6.5
31091;4.391975;50.54103333;36416.74638;30.8;1;-900;5.4
62966;4.387663889;50.540275;115545.8241;30.8;1;-900;3
25888;4.389802778;50.54008333;31213.97738;30.8;1;-855;12
29160;4.393419444;50.54120833;34485.8569;30.8;1;-855;4.6
62960;4.387666667;50.54034444;115539.8097;30.8;1;-855;9.5
31160;4.389863889;50.54052778;36485.74056;30.8;1;-850;5.636363636
25861;4.390572222;50.54025556;31187.01551;30.8;1;-810;11.7
26225;4.394080556;50.54116389;31551.01919;30.8;1;-810;6.1
63042;4.387736111;50.53942778;115621.801;30.8;1;-810;7.3
63009;4.387686111;50.53978611;115588.8057;30.8;1;-800;27
29372;4.388011111;50.53990278;34697.84683;30.8;1;-765;5.777777778
29657;4.392702778;50.54108056;34982.82968;30.8;1;-765;6
63037;4.387727778;50.53948611;115616.7891;30.8;1;-765;5.9
